Oct,high,avg,low
10/17/17,24,17,10
10/18/17,28,20,12
10/19/17,28,22,16
10/20/17,29,23,18
10/21/17,32,27,22
10/22/17,24,19,13
10/23/17,28,20,12
10/24/17,23,18,13
10/25/17,27,17,8
10/26/17,29,21,13
10/27/17,19,13,7
